D:\Agents\1\_work\548\s\DpUpdates\DpUpdates.cpp, 53	2022-12-16 15:02:24: Starting new log ***********************. 
D:\Agents\1\_work\548\s\DpUpdates\DpUpdates_i.cpp, 1700	[INFO] Product path 'C:/Users/Laptop DF 2/AppData/Local/ABB/RobotWare/Wizard_1.4.1'.
D:\Agents\1\_work\548\s\DpUpdates\DpUpdates_i.cpp, 1700	[INFO] Product path 'C:/Users/Laptop DF 2/AppData/Local/ABB/RobotWare/ASI_1.0.4'.
D:\Agents\1\_work\548\s\DpUpdates\DpUpdates_i.cpp, 1722	[WARNING] Failed to get serial number or empty serial number. 
D:\Agents\1\_work\548\s\DpUpdates\DpUpdates_i.cpp, 1780	[INFO] Generating key.id, writing header.
D:\Agents\1\_work\548\s\DpUpdates\DpUpdates_i.cpp, 2006	[INFO] Generate file 'C:/Users/Laptop DF 2/Documents/GitHub/robot_teach_in/Virtual_RobotTeachIn/internal/system.xml'.
D:\Agents\1\_work\548\s\DpUpdates\DpUpdates_i.cpp, 2035	[WARNING] Unable to get serial number or empty serial number. 
D:\Agents\1\_work\548\s\DpUpdates\DpUpdates_i.cpp, 1132	All actions done, status = 0. 
D:\Agents\1\_work\548\s\DpUpdates\DpUpdates_i.cpp, 2285	[INFO] Installation is complete. 
D:\Agents\1\_work\548\s\DpUpdates\DpUpdates_i.cpp, 850	[INFO] Update prodinfo.xml. 
D:\Agents\1\_work\548\s\DpUpdates\DpUpdates_i.cpp, 879	[INFO] Need to update prodinfo.xml. 
D:\Agents\1\_work\548\s\DpUpdates\DpUpdates_i.cpp, 920	[INFO] File C:/Users/Laptop DF 2/Documents/GitHub/robot_teach_in/Virtual_RobotTeachIn/internal/prodinfo.xml has been updated. 
D:\Agents\1\_work\548\s\DpUpdates\DpUpdates_i.cpp, 955	[INFO] Failed to get RWI version. 
D:\Agents\1\_work\548\s\DpUpdates\DpUpdates_i.cpp, 980	[INFO] File C:/Users/Laptop DF 2/Documents/GitHub/robot_teach_in/Virtual_RobotTeachIn/internal/prodinfo.xml has been created, status = 0. 
D:\Agents\1\_work\548\s\DpUpdates\DpUpdates_i.cpp, 1353	GetProdsAndFeaturesFromCtrlrsfFile(), file path = 'C:/Users/Laptop DF 2/Documents/GitHub/robot_teach_in/Virtual_RobotTeachIn/internal/controller.rsf'. 
D:\Agents\1\_work\548\s\DpUpdates\DpUpdates_i.cpp, 1397	GetProdsAndFeaturesFromCtrlrsfFile(), got 5 products. 
D:\Agents\1\_work\548\s\DpUpdates\DpUpdates_i.cpp, 1463	GetProdsAndFeaturesFromCtrlrsfFile(), got 24 features for product 'RobotControl'. 
D:\Agents\1\_work\548\s\DpUpdates\DpUpdates_i.cpp, 1463	GetProdsAndFeaturesFromCtrlrsfFile(), got 1 features for product 'RobotOS'. 
D:\Agents\1\_work\548\s\DpUpdates\DpUpdates_i.cpp, 1463	GetProdsAndFeaturesFromCtrlrsfFile(), got 1 features for product 'Robots'. 
D:\Agents\1\_work\548\s\DpUpdates\DpUpdates_i.cpp, 1463	GetProdsAndFeaturesFromCtrlrsfFile(), got 1 features for product 'Wizard'. 
D:\Agents\1\_work\548\s\DpUpdates\DpUpdates_i.cpp, 1463	GetProdsAndFeaturesFromCtrlrsfFile(), got 1 features for product 'ASI'. 
D:\Agents\1\_work\548\s\DpUpdates\DpUpdates_i.cpp, 1890	[INFO] ResetAddInData status =0.
D:\Agents\1\_work\548\s\DpUpdates\DpUpdates_i.cpp, 850	[INFO] Update prodinfo.xml. 
D:\Agents\1\_work\548\s\DpUpdates\DpUpdates_i.cpp, 980	[INFO] File C:/Users/Laptop DF 2/Documents/GitHub/robot_teach_in/Virtual_RobotTeachIn/internal/prodinfo.xml has been created, status = 0. 
D:\Agents\1\_work\548\s\DpUpdates\DpUpdates_i.cpp, 1353	GetProdsAndFeaturesFromCtrlrsfFile(), file path = 'C:/Users/Laptop DF 2/Documents/GitHub/robot_teach_in/Virtual_RobotTeachIn/internal/controller.rsf'. 
D:\Agents\1\_work\548\s\DpUpdates\DpUpdates_i.cpp, 1397	GetProdsAndFeaturesFromCtrlrsfFile(), got 5 products. 
D:\Agents\1\_work\548\s\DpUpdates\DpUpdates_i.cpp, 1463	GetProdsAndFeaturesFromCtrlrsfFile(), got 24 features for product 'RobotControl'. 
D:\Agents\1\_work\548\s\DpUpdates\DpUpdates_i.cpp, 1463	GetProdsAndFeaturesFromCtrlrsfFile(), got 1 features for product 'RobotOS'. 
D:\Agents\1\_work\548\s\DpUpdates\DpUpdates_i.cpp, 1463	GetProdsAndFeaturesFromCtrlrsfFile(), got 1 features for product 'Robots'. 
D:\Agents\1\_work\548\s\DpUpdates\DpUpdates_i.cpp, 1463	GetProdsAndFeaturesFromCtrlrsfFile(), got 1 features for product 'Wizard'. 
D:\Agents\1\_work\548\s\DpUpdates\DpUpdates_i.cpp, 1463	GetProdsAndFeaturesFromCtrlrsfFile(), got 1 features for product 'ASI'. 
D:\Agents\1\_work\548\s\DpUpdates\DpUpdates_i.cpp, 850	[INFO] Update prodinfo.xml. 
D:\Agents\1\_work\548\s\DpUpdates\DpUpdates_i.cpp, 980	[INFO] File C:/Users/Laptop DF 2/Documents/GitHub/robot_teach_in/Virtual_RobotTeachIn/internal/prodinfo.xml has been created, status = 0. 
D:\Agents\1\_work\548\s\DpUpdates\DpUpdates_i.cpp, 850	[INFO] Update prodinfo.xml. 
D:\Agents\1\_work\548\s\DpUpdates\DpUpdates_i.cpp, 980	[INFO] File C:/Users/Laptop DF 2/Documents/GitHub/robot_teach_in/Virtual_RobotTeachIn/internal/prodinfo.xml has been created, status = 0. 
D:\Agents\1\_work\548\s\DpUpdates\DpUpdates_i.cpp, 850	[INFO] Update prodinfo.xml. 
D:\Agents\1\_work\548\s\DpUpdates\DpUpdates_i.cpp, 980	[INFO] File C:/Users/Laptop DF 2/Documents/GitHub/robot_teach_in/Virtual_RobotTeachIn/internal/prodinfo.xml has been created, status = 0. 
D:\Agents\1\_work\548\s\DpUpdates\DpUpdates_i.cpp, 850	[INFO] Update prodinfo.xml. 
D:\Agents\1\_work\548\s\DpUpdates\DpUpdates_i.cpp, 980	[INFO] File C:/Users/Laptop DF 2/Documents/GitHub/robot_teach_in/Virtual_RobotTeachIn/internal/prodinfo.xml has been created, status = 0. 
D:\Agents\1\_work\548\s\DpUpdates\DpUpdates_i.cpp, 850	[INFO] Update prodinfo.xml. 
D:\Agents\1\_work\548\s\DpUpdates\DpUpdates_i.cpp, 980	[INFO] File C:/Users/Laptop DF 2/Documents/GitHub/robot_teach_in/Virtual_RobotTeachIn/internal/prodinfo.xml has been created, status = 0. 
D:\Agents\1\_work\548\s\DpUpdates\DpUpdates_i.cpp, 850	[INFO] Update prodinfo.xml. 
D:\Agents\1\_work\548\s\DpUpdates\DpUpdates_i.cpp, 980	[INFO] File C:/Users/Laptop DF 2/Documents/GitHub/robot_teach_in/Virtual_RobotTeachIn/internal/prodinfo.xml has been created, status = 0. 
D:\Agents\1\_work\548\s\DpUpdates\DpUpdates_i.cpp, 850	[INFO] Update prodinfo.xml. 
D:\Agents\1\_work\548\s\DpUpdates\DpUpdates_i.cpp, 980	[INFO] File C:/Users/Laptop DF 2/Documents/GitHub/robot_teach_in/Virtual_RobotTeachIn/internal/prodinfo.xml has been created, status = 0. 
D:\Agents\1\_work\548\s\DpUpdates\DpUpdates_i.cpp, 850	[INFO] Update prodinfo.xml. 
D:\Agents\1\_work\548\s\DpUpdates\DpUpdates_i.cpp, 980	[INFO] File C:/Users/Laptop DF 2/Documents/GitHub/robot_teach_in/Virtual_RobotTeachIn/internal/prodinfo.xml has been created, status = 0. 
D:\Agents\1\_work\548\s\DpUpdates\DpUpdates_i.cpp, 850	[INFO] Update prodinfo.xml. 
D:\Agents\1\_work\548\s\DpUpdates\DpUpdates_i.cpp, 980	[INFO] File C:/Users/Laptop DF 2/Documents/GitHub/robot_teach_in/Virtual_RobotTeachIn/internal/prodinfo.xml has been created, status = 0. 
